Sr.NO,Train accuracy,Test accuracy,Colsample bytree,Learning rate,Max depth,N estimators,Alpha
239,0.8030421686746988,0.7779518072289157,0.9,0.1,3,400,5
244,0.8101204819277108,0.7786746987951807,0.9,0.1,4,200,1
245,0.8039759036144578,0.7785542168674698,0.9,0.1,4,200,5
246,0.8005722891566265,0.7785542168674698,0.9,0.1,4,200,10
247,0.8221084337349398,0.7753012048192771,0.9,0.1,4,300,1
248,0.8151807228915663,0.7767469879518072,0.9,0.1,4,300,5
249,0.8078313253012048,0.7765060240963856,0.9,0.1,4,300,10
250,0.8325903614457831,0.7756626506024097,0.9,0.1,4,400,1
251,0.8235240963855421,0.7737349397590362,0.9,0.1,4,400,5
252,0.8139759036144578,0.7757831325301204,0.9,0.1,4,400,10
256,0.8046686746987952,0.7790361445783133,0.9,0.5,2,200,1
259,0.8114759036144579,0.778433734939759,0.9,0.5,2,300,1
260,0.8050903614457832,0.7785542168674698,0.9,0.5,2,300,5
261,0.8003313253012048,0.7793975903614457,0.9,0.5,2,300,10
262,0.8172590361445783,0.7780722891566265,0.9,0.5,2,400,1
263,0.8097590361445783,0.7774698795180723,0.9,0.5,2,400,5
264,0.8026204819277108,0.7791566265060241,0.9,0.5,2,400,10
265,0.8126506024096386,0.7783132530120482,0.9,0.5,3,100,1
266,0.8083132530120481,0.7774698795180723,0.9,0.5,3,100,5
267,0.804156626506024,0.778433734939759,0.9,0.5,3,100,10
268,0.8351204819277108,0.779277108433735,0.9,0.5,3,200,1
269,0.8258132530120482,0.7786746987951807,0.9,0.5,3,200,5
270,0.8162951807228915,0.7780722891566265,0.9,0.5,3,200,10
271,0.8543072289156627,0.7762650602409639,0.9,0.5,3,300,1
272,0.8382228915662651,0.7750602409638554,0.9,0.5,3,300,5
273,0.8218674698795181,0.7779518072289157,0.9,0.5,3,300,10
274,0.8704518072289157,0.7718072289156627,0.9,0.5,3,400,1
275,0.8503614457831326,0.7721686746987951,0.9,0.5,3,400,5
276,0.8218674698795181,0.7779518072289157,0.9,0.5,3,400,10
277,0.8432530120481928,0.7726506024096386,0.9,0.5,4,100,1
278,0.8309337349397591,0.7725301204819277,0.9,0.5,4,100,5
279,0.8202108433734939,0.7750602409638554,0.9,0.5,4,100,10
280,0.8861746987951807,0.7689156626506024,0.9,0.5,4,200,1
281,0.8639759036144579,0.7730120481927711,0.9,0.5,4,200,5
282,0.8390060240963856,0.7727710843373494,0.9,0.5,4,200,10
283,0.9180421686746988,0.7645783132530121,0.9,0.5,4,300,1
284,0.887289156626506,0.769277108433735,0.9,0.5,4,300,5
285,0.8406927710843374,0.7734939759036145,0.9,0.5,4,300,10
286,0.9398493975903615,0.763855421686747,0.9,0.5,4,400,1
287,0.9044277108433735,0.7684337349397591,0.9,0.5,4,400,5
288,0.8406927710843374,0.7734939759036145,0.9,0.5,4,400,10
289,0.8027710843373494,0.7806024096385542,0.9,1.0,2,100,1
292,0.8176506024096386,0.7778313253012048,0.9,1.0,2,200,1
293,0.8093975903614458,0.7775903614457831,0.9,1.0,2,200,5
294,0.8012650602409639,0.7765060240963856,0.9,1.0,2,200,10
295,0.8288855421686747,0.7736144578313253,0.9,1.0,2,300,1
296,0.8169879518072289,0.7760240963855422,0.9,1.0,2,300,5
297,0.805,0.7767469879518072,0.9,1.0,2,300,10
298,0.8371385542168674,0.7728915662650603,0.9,1.0,2,400,1
299,0.8222289156626506,0.7751807228915663,0.9,1.0,2,400,5
300,0.8050301204819277,0.7767469879518072,0.9,1.0,2,400,10
301,0.8363253012048193,0.7706024096385542,0.9,1.0,3,100,1
302,0.8259337349397591,0.7709638554216868,0.9,1.0,3,100,5
303,0.8170481927710843,0.7739759036144578,0.9,1.0,3,100,10
304,0.8706626506024097,0.7659036144578313,0.9,1.0,3,200,1
305,0.8507831325301205,0.7703614457831325,0.9,1.0,3,200,5
306,0.8299698795180723,0.7716867469879518,0.9,1.0,3,200,10
307,0.8959939759036144,0.7591566265060241,0.9,1.0,3,300,1
308,0.8681024096385542,0.7662650602409639,0.9,1.0,3,300,5
309,0.8354518072289157,0.7707228915662651,0.9,1.0,3,300,10
310,0.9169277108433735,0.7565060240963856,0.9,1.0,3,400,1
311,0.8800602409638554,0.7674698795180723,0.9,1.0,3,400,5
312,0.8354518072289157,0.7707228915662651,0.9,1.0,3,400,10
313,0.8873192771084337,0.7651807228915662,0.9,1.0,4,100,1
314,0.8644578313253012,0.7656626506024097,0.9,1.0,4,100,5
315,0.8420481927710843,0.7686746987951807,0.9,1.0,4,100,10
316,0.9401204819277108,0.7650602409638554,0.9,1.0,4,200,1
317,0.9056927710843373,0.7610843373493976,0.9,1.0,4,200,5
318,0.8673192771084337,0.7663855421686747,0.9,1.0,4,200,10
319,0.9692469879518072,0.7586746987951807,0.9,1.0,4,300,1
320,0.9278313253012048,0.759277108433735,0.9,1.0,4,300,5
321,0.8699698795180723,0.7656626506024097,0.9,1.0,4,300,10
322,0.9833433734939759,0.7574698795180723,0.9,1.0,4,400,1
323,0.9426204819277109,0.7609638554216868,0.9,1.0,4,400,5
324,0.8699698795180723,0.7656626506024097,0.9,1.0,4,400,10
